filename,species,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101,x102,y102
ANOMOCHLOA_3.tif,Anomochloa_marantoidea,923.5,3073.0,846.1582,3033.5,787.9958,2990.4958,753.365,2928.865,743.5,2857.4611,755.5,2786.1132,767.5,2715.5937,788.5,2647.1453,817.5,2582.0106,836.6883,2512.8117,869.3191,2449.1809,901.5,2385.3638,933.8736,2321.6264,966.5,2257.9938,998.5,2194.1017,1011.5,2122.3396,1058.5,2076.9622,1090.5,2013.0702,1123.0812,1949.4188,1155.5,1885.7002,1187.6357,1821.8643,1220.2665,1758.2335,1258.1901,1706.3099,1278.5,1643.9603,1310.5,1580.0683,1343.0825,1516.4175,1376.4204,1453.0796,1415.5,1392.1199,1455.117,1331.383,1494.5,1270.549,1533.8137,1209.6863,1579.3942,1166.1058,1599.8534,1108.6466,1639.5,1047.9218,1678.55,986.95,1718.2519,926.2481,1757.5,865.3583,1796.9485,804.5515,1836.6504,743.8496,1875.6451,682.8549,1917.8115,630.6885,1969.827,575.673,2022.2568,520.2432,2074.444,469.944,2121.9743,422.5257,2177.6969,370.8031,2229.7125,315.7875,2279.6068,259.8932,2332.6223,205.8777,2374.5,147.4913,2413.5,87.6703,2451.0,36.5,1005.7113,3106.2113,1065.991,3149.5,1138.5741,3164.5,1213.6425,3155.5,1276.6656,3122.8344,1332.6048,3071.8952,1377.5,3012.2808,1416.0483,2949.4517,1452.5,2885.7543,1485.0566,2820.4434,1513.7926,2756.5,1540.8726,2711.6274,1575.5,2647.1742,1609.881,2582.619,1642.2639,2517.2361,1679.4752,2455.0248,1710.5,2389.0794,1738.5841,2321.9159,1770.5,2256.9254,1790.5,2186.4134,1818.5,2119.2151,1848.5,2052.8452,1878.5,1987.3037,1898.6473,1916.8527,1925.5,1849.1792,1950.5,1780.7382,1972.4614,1711.0386,1994.2377,1641.2623,2017.4281,1572.0719,2040.6186,1502.8814,2063.5,1433.5628,2088.2925,1366.2075,2107.5,1295.3672,2129.5,1225.6836,2151.5,1156.0,2170.5,1085.0738,2190.5,1014.5618,2209.7577,943.7423,2235.5,875.6088,2254.5,804.6825,2272.5,733.3421,2291.5,662.4158,2309.4467,591.0533,2329.9301,521.5699,2349.5,450.8798,2372.0684,381.4316,2393.1376,311.3624,2408.5,239.7579,2426.5,168.4174,2449.0189,104.5189
ANOMOCHLOA_4.tif,Anomochloa_marantoidea,93.5,369.0,102.3884,365.1116,110.984,360.516,113.4205,351.9205,105.7036,345.2036,98.2797,337.7797,92.5,329.6746,88.5,320.8324,87.5,311.5759,88.5,302.3195,91.5,293.0631,96.0509,284.4491,102.0607,276.4393,107.5,268.1933,114.0802,260.4198,120.7971,252.7029,127.5139,244.9861,134.5,237.3807,140.9477,229.5523,148.3716,222.1284,155.3814,215.1186,162.8053,207.6947,170.7385,201.5,178.3381,194.5,186.2488,188.2512,193.2586,181.2414,201.8541,176.6459,209.8639,170.6361,217.8736,164.6264,225.8834,158.6166,234.186,153.314,242.1958,147.3042,251.0842,143.4158,259.5471,138.5,268.3893,134.5,276.8708,129.6292,285.7593,125.7407,294.5018,121.5,303.5361,117.9639,312.7175,114.7825,321.8569,111.5,330.4943,107.0057,339.6757,103.8243,348.7978,100.5,357.64,96.5,366.4822,92.5,375.2294,88.2706,383.8249,83.6751,392.5947,79.5,401.3089,75.1911,409.8649,70.5,418.5,69.0,102.4243,368.0757,111.3486,364.1514,120.8001,363.5,127.1971,370.6971,133.2427,378.7427,140.2884,385.7884,149.2126,389.7126,157.3652,389.5,166.7683,386.7317,175.6926,382.8074,184.6169,378.8831,193.8341,375.6659,202.1726,370.3274,210.5111,364.9889,218.7873,359.5,227.266,354.5,234.9408,347.5592,242.6935,340.8065,249.7391,333.7609,257.7847,327.7153,265.8303,321.6697,273.2901,314.2099,279.5,306.2323,285.6742,298.8258,292.4269,291.0731,297.7654,282.7346,304.5,274.9743,309.8567,266.6433,316.5,258.8453,322.5,250.7808,327.9935,242.5065,333.5,234.2376,338.6705,225.8295,343.5,217.2802,348.6404,208.8596,353.9789,200.5211,359.3174,192.1826,363.5,183.3654,369.2873,175.2127,372.5044,165.9956,375.7216,156.7784,380.5,148.2079,383.5702,138.9298,388.9087,130.5913,391.5,121.1149,395.343,112.157,399.2673,103.2327,404.6058,94.8942,409.5,86.3716,414.5757,77.9243
Acrachne_0000_Layer 1.jpg,Acrachne_racemosa,215.5,1117.0,213.1541,1075.3459,231.2225,1054.2775,251.9979,1035.5021,272.7734,1016.7266,292.5488,996.9512,311.6171,976.8829,331.3926,957.1074,350.6518,937.5,372.115,920.385,392.1834,901.3166,412.6659,881.8341,432.8556,861.6444,453.0453,841.4547,473.5278,821.9722,494.0104,802.4896,514.4929,783.0071,535.5613,764.9387,557.2154,748.2846,577.2837,729.2163,597.0592,709.4408,617.8346,690.6654,637.1958,671.3042,657.6784,651.8216,678.1609,632.3391,698.5,613.3828,719.4209,595.5,738.9518,576.5482,758.6059,557.8941,778.3813,538.1187,798.4497,519.0503,818.2251,499.2749,838.2934,480.2066,859.3618,462.1382,880.6083,444.5,901.4985,426.0015,923.1526,409.3474,943.928,390.572,964.5822,372.9178,985.9434,355.5566,1007.0117,337.4883,1028.6659,320.8341,1049.7342,302.7658,1071.6812,286.8188,1093.3353,270.1647,1115.2824,254.2176,1137.2294,238.2706,1158.8352,221.5,1181.1234,206.3766,1203.0704,190.4296,1224.1388,172.3612,1245.5,158.0,257.2875,1123.2125,277.3176,1104.1824,297.0548,1084.4452,317.792,1065.708,339.115,1048.385,360.438,1031.062,381.0539,1013.4461,401.084,994.416,419.1141,973.3859,437.8513,952.6487,456.8814,932.6186,476.3258,912.1742,493.6488,890.8512,514.5459,872.5,535.4161,854.0839,555.7391,835.7609,576.7692,817.7308,597.7993,799.7007,618.1223,781.3777,637.8595,761.6405,658.1825,743.3175,678.9197,724.5803,698.9499,705.5501,719.1013,685.3987,738.4243,666.0757,758.7473,647.7527,779.0703,629.4297,800.3933,612.1067,820.7163,593.7837,840.5,574.6515,860.6552,556.8448,881.0995,537.4005,900.4225,518.0775,920.4526,499.0474,940.4827,480.0173,961.2199,461.2801,980.9572,441.5428,1001.6944,422.8056,1022.1387,403.3613,1042.583,383.917,1062.0273,363.4727,1079.3503,342.1497,1098.3805,322.1195,1117.5,301.5407,1135.8549,280.6451,1155.1779,261.3221,1175.8799,242.5,1195.3594,222.1406,1212.9753,201.5247,1229.5912,179.9088
Acrachne_0001_Layer 2.jpg,Acrachne_racemosa,185.5,1189.0,192.5,1162.8671,203.2234,1138.2766,220.2169,1116.2831,233.5,1092.7528,249.5,1070.3479,265.5,1047.943,282.5338,1025.9662,303.5272,1007.9728,324.642,988.858,346.4844,971.5,368.0431,953.4569,389.2232,934.5,410.8584,916.6416,431.9731,897.5269,451.795,876.705,470.9098,855.5902,490.7316,834.7684,511.2606,814.2394,532.6683,795.8317,553.3688,777.1312,574.4836,758.0164,592.5,736.4467,613.006,716.494,634.1208,697.3792,655.2355,678.2645,673.6432,656.8568,693.3437,637.1563,714.0443,618.4557,735.6391,600.5,757.1525,582.3475,779.1459,565.3541,800.8465,547.6535,822.3594,529.5,843.5217,510.5,864.0694,491.4306,885.4771,473.0229,907.4705,456.0295,929.464,439.036,951.7503,422.7497,973.4508,405.0492,995.6283,388.5,1017.619,371.5,1038.7813,352.5,1061.1317,336.3683,1083.1251,319.3749,1105.4115,303.0885,1127.112,285.388,1149.3984,269.1016,1171.9776,253.5224,1192.0923,233.4077,1212.5,217.0,210.6537,1184.8463,235.5144,1174.9856,257.7391,1158.7609,279.671,1141.829,303.9459,1130.5541,327.6351,1117.8649,351.0314,1104.4686,372.6704,1086.8296,393.7235,1067.7765,415.0696,1049.4304,436.4156,1031.0844,456.1759,1010.3241,477.229,991.271,495.5751,969.9249,513.5,948.4045,531.56,926.94,549.9061,905.5939,568.9592,884.5408,589.7195,864.7805,610.7726,845.7274,631.24,825.26,650.5861,804.9139,671.6392,785.8608,691.5649,765.5,711.3313,746.1687,731.6773,726.8227,753.0234,708.4766,773.3694,689.1306,792.7155,668.7845,814.6473,651.8527,835.1622,631.5,854.5,611.6414,871.6854,589.8146,891.7386,569.7614,910.0846,548.4154,928.4307,527.0693,949.4838,508.0162,971.4156,491.0844,992.4688,472.0312,1010.5,450.5548,1030.5751,429.9249,1051.3354,410.1646,1070.6814,389.8186,1089.7345,368.7655,1108.5,347.5931,1127.1337,326.3663,1143.3585,304.1415,1158.8761,281.6239,1175.1008,259.3992,1194.8611,238.6389
Acroceras zizanioides_0000_Layer 1.jpg,Acroceras_zizanioides,171.7606,893.8424,165.5,897.1951,157.5185,878.0185,145.5,861.0999,145.3062,838.1938,150.0114,816.4886,159.5,796.7647,170.7356,777.7644,183.2189,759.2811,196.4095,741.0905,211.0142,723.4858,225.6189,705.8811,240.2236,688.2764,254.5,670.5357,269.433,653.067,284.0378,635.4622,296.5212,616.9788,310.4188,599.0812,324.5,581.2597,338.214,563.286,354.2329,546.2671,371.2519,530.2481,388.2708,514.2292,405.5826,498.9174,422.6015,482.8985,440.4992,469.0008,458.1039,454.3961,475.7086,439.7914,492.7275,423.7725,509.6414,407.5,527.0583,392.4417,543.0772,375.4228,560.6819,360.8181,577.7009,344.7991,595.3056,330.1944,612.3245,314.1755,629.6363,298.8637,646.9482,283.5518,662.3677,266.5,679.8647,251.6353,697.4694,237.0306,715.5191,223.5,733.8504,210.6496,751.748,196.752,767.6457,180.8543,784.5433,165.9567,801.8551,150.6449,818.874,134.626,836.4787,120.0213,853.7906,104.7094,871.1024,89.3976,889.0,75.5,197.6899,920.5,218.9756,915.5244,238.9989,907.5011,257.8507,896.6493,275.8238,883.6762,294.0898,871.4102,310.8913,855.6087,327.9857,840.5143,345.0801,825.4199,362.7603,811.7397,380.1476,797.3524,395.9491,780.5509,411.7506,763.7494,428.2593,747.2407,444.0608,730.4392,460.5694,713.9306,477.078,697.422,493.5866,680.9134,510.0952,664.4048,524.4825,647.0175,538.5,629.477,551.1358,611.3642,563.5,593.1389,576.5,575.1769,587.9338,556.5662,599.4926,538.0074,611.0515,519.4485,623.3175,501.1825,634.5,482.4677,645.7281,463.7719,657.9941,445.5059,668.5,426.5109,680.5,408.1347,691.9636,389.5364,704.9367,371.5633,717.9098,353.5902,728.5,334.6301,740.5,316.2539,749.758,296.742,759.5,277.4306,768.5,257.8118,778.5,238.6072,788.2153,219.2847,799.5,200.6123,810.6259,181.8741,822.8919,163.6081,835.1579,145.3421,848.8381,127.6619,863.2254,110.2746,876.9056,92.5944
Acroceras zizanioides_0001_Layer 2.jpg,Acroceras_zizanioides,98.75,916.75,62.5,854.7466,70.5,832.9784,83.3011,813.1989,100.3295,795.1705,119.8224,781.6776,138.7296,766.7704,157.9296,752.5704,173.5,733.938,189.6377,716.5,208.651,701.849,227.2652,686.2348,245.2936,669.2064,262.615,651.885,280.6434,634.8566,297.2577,617.2423,314.2861,599.2139,331.3146,581.1854,349.2217,565.2783,367.543,548.957,385.1573,532.3427,403.4786,516.0214,422.0928,500.4072,440.4142,484.0858,458.4426,467.0574,476.0568,450.4432,494.6711,434.8289,512.9924,418.5076,531.3138,402.1862,549.928,386.572,567.9564,369.5436,586.8636,354.6364,606.0636,340.4364,625.2636,326.2364,645.0699,313.5,665.1812,301.5,684.0352,286.4648,701.3566,269.1434,718.6779,251.8221,737.585,236.915,756.4922,222.0078,775.9851,208.5149,795.7709,195.7291,814.678,180.822,833.8275,166.5,853.9567,154.5433,873.7425,141.7575,893.7472,129.5,913.3142,116.1858,933.1,103.4,952.3,89.2,971.5,78.0,161.5348,954.5,186.0697,954.5,208.9477,948.5,229.7546,937.5,249.8113,924.6887,269.5032,910.9968,288.9022,896.5978,308.5941,882.9059,328.5788,869.9212,347.3921,854.1079,363.7911,836.7089,382.3114,820.1886,401.4175,805.0825,417.2307,786.2693,430.9226,766.5774,444.6145,746.8855,460.4277,728.0723,477.5,709.7806,494.4684,692.0316,510.2816,673.2184,526.8019,654.6981,542.6152,635.8848,557.5,616.6871,572.1203,597.3797,586.5193,577.9807,601.6254,558.8746,618.5,540.501,634.666,521.834,651.1864,503.3136,665.5854,483.9146,680.6915,464.8085,695.7976,445.7024,710.1966,426.3034,724.5956,406.9044,737.5804,386.9196,751.2723,367.2277,764.2571,347.2429,776.5348,326.9652,789.5,306.9723,802.5,286.9939,816.9034,267.5966,830.5952,247.9048,845.7014,228.7986,859.3933,209.1067,876.6207,190.8793,893.141,172.359,908.9542,153.5458,925.4746,135.0254,941.2878,116.2122,957.8081,97.6919
Acroceras zizanioides_0002_Layer 3.jpg,Acroceras_zizanioides,129.6069,1364.084,118.5,1353.7094,102.5,1323.3894,88.5,1292.241,94.5,1257.7788,103.1045,1224.3955,115.7953,1192.7047,127.5,1160.6056,147.5,1131.9424,170.4239,1105.0761,195.8425,1078.6575,222.1399,1054.3601,245.4373,1027.0627,272.4417,1003.0583,299.4462,979.0538,326.2231,954.5,354.0409,932.4591,383.0956,913.4044,412.1503,894.3497,440.6192,873.8808,466.3308,848.1692,495.0926,828.4074,524.7331,810.7669,552.9092,789.5908,581.9489,770.5,611.6044,752.8956,640.3662,733.1338,670.0095,715.5,699.9401,698.5599,729.8211,681.5,759.2211,663.2789,789.2185,646.5,819.9527,631.5,850.1928,615.3072,880.4191,599.0809,909.4738,580.0262,939.1143,562.3857,968.7548,544.7452,998.3953,527.1047,1028.0358,509.4642,1058.2621,493.2379,1088.7813,477.7187,1118.1823,459.5,1147.7694,441.7306,1178.8223,427.5,1209.1423,411.5,1237.4483,392.0517,1266.7959,373.7041,1295.5577,353.9423,1324.0266,333.4734,1352.4955,313.0045,1378.5,291.0,150.3775,1406.5,182.6043,1413.5,216.4879,1410.5,247.472,1400.5,277.151,1387.349,304.625,1368.875,331.8062,1349.6938,358.9873,1330.5127,386.1685,1311.3315,413.0803,1291.5,439.6521,1270.8479,466.2475,1250.2525,492.8429,1229.6571,518.7913,1207.5,544.5691,1184.9309,570.2858,1162.2142,595.1751,1137.5,620.5476,1113.9524,645.6786,1089.8214,671.1023,1066.3977,696.819,1043.681,721.5357,1019.9643,746.2524,996.2476,770.3833,971.1167,793.3929,946.1071,816.5,921.1379,840.4121,897.0879,863.1288,871.3712,884.4313,845.0687,909.148,821.352,930.5,795.6559,953.0458,770.4542,975.7625,744.7375,999.4792,720.0208,1023.6101,694.8899,1048.9126,672.5874,1072.6293,647.8707,1095.5,623.3894,1119.5271,599.9729,1141.5367,573.9633,1162.8392,547.6608,1182.7274,520.7726,1202.5,493.8364,1219.5,465.7517,1239.5638,438.9362,1264.8663,416.6337,1288.583,391.917,1311.5926,366.9074,1335.3093,342.1907,1360.0259,318.4741
Aegilops cylindrica_0000_Layer 1.tif,Aegilops_geniculata,29.5,697.5,21.5,665.5674,33.5,651.9633,44.246,637.254,57.3803,624.1197,69.5146,609.9854,81.9418,596.5582,94.0761,582.4239,106.5033,568.9967,118.9305,555.5695,132.0648,542.4352,144.1991,528.3009,158.3334,516.1666,171.1748,502.3252,183.602,488.898,196.7363,475.7637,209.8706,462.6294,221.5907,448.9093,234.5,435.6818,247.1522,422.3478,260.2865,409.2135,273.5,396.112,286.5551,382.9449,299.9823,370.5177,313.5308,356.9692,326.6651,343.8349,339.7994,330.7006,352.9337,317.5663,366.4822,304.0178,380.3236,291.1764,393.8721,277.6279,407.0064,264.4936,421.1407,252.3593,434.9821,239.5179,449.1164,227.3836,462.5,214.3525,476.385,202.115,488.5193,187.9807,501.9465,175.5535,515.6666,163.8334,529.8009,151.6991,543.2281,139.2719,557.3624,127.1376,571.0825,115.4175,585.8025,104.6975,599.5226,92.9774,613.1006,79.5,627.4983,68.0017,641.4805,55.5,656.0598,44.4402,670.7799,33.7201,685.5,26.0,61.3079,701.1921,75.5301,686.9699,89.338,673.162,102.5,659.0865,116.9539,645.5461,130.7618,631.7382,144.5697,617.9303,157.3777,603.1223,170.4785,589.0215,183.2864,574.2136,197.8015,560.6985,211.6094,546.8906,224.296,533.204,238.104,519.396,251.619,504.881,265.3056,492.1944,261.5,475.4755,278.4453,476.5,290.5873,462.9127,305.1023,449.3977,318.6173,434.8827,331.7182,420.7818,345.3298,406.5,357.2127,392.2873,375.7571,388.5,387.2008,383.5,375.5,373.28,388.4028,359.0972,401.5036,344.9964,414.3116,330.1884,427.4124,316.0876,440.9274,301.5726,454.7354,287.7646,467.8362,273.6638,479.937,258.563,493.4521,244.0479,506.9671,229.5329,520.4822,215.0178,533.9972,200.5028,547.098,186.402,560.906,172.594,573.5,158.2833,586.8147,143.6853,599.9155,129.5845,614.0164,116.4836,627.8243,102.6757,640.6322,87.8678,650.6117,71.8883,662.5,56.6994,674.1063,41.3937
Aegilops cylindrica_0001_Layer 2.jpg,Aegilops_geniculata,17.5,907.0,14.5146,884.9854,32.5,865.6154,50.7363,845.7637,70.9909,828.5,89.958,809.542,108.6295,789.8705,126.5939,769.9061,145.9725,750.5275,165.9368,732.5632,185.3154,713.1846,204.9869,694.5131,225.2442,677.2558,245.5015,659.9985,265.7588,642.7412,286.6019,626.8981,305.9805,607.5195,325.6519,588.8481,344.8716,570.5,364.8736,552.6264,384.5451,533.9549,404.7205,516.5,424.7668,498.7332,444.7312,480.7688,464.4027,462.0973,483.7813,442.7187,503.7456,424.7544,523.71,406.79,543.9673,389.5327,563.6388,370.8612,583.8961,353.6039,603.8605,335.6395,624.1178,318.3822,644.6679,301.8321,665.2181,285.2819,685.4754,268.0246,706.0256,251.4744,726.5757,234.9243,746.7639,217.5,767.0903,200.4097,788.32,185.5,809.3622,170.1378,830.2053,154.2947,850.7555,137.7445,871.0127,120.4873,891.27,103.23,911.2344,85.2656,932.3704,70.1296,953.5063,54.9937,974.6423,39.8577,995.7783,24.7217,1017.5,14.0,37.3329,894.1671,57.2871,877.2129,77.2414,860.2586,97.1956,843.3044,117.7356,827.7644,137.6898,810.8102,157.644,793.856,177.3054,776.1946,197.2596,759.2404,216.628,740.872,234.9965,721.5035,254.6578,703.8422,273.0262,684.4738,292.3947,666.1053,312.056,648.444,330.4245,629.0755,348.7929,609.7071,368.7471,592.7529,387.8227,573.6773,407.7769,556.7231,427.1453,538.3547,446.2209,519.2791,465.8822,501.6178,485.5435,483.9565,505.2049,466.2951,523.5733,446.9267,542.5275,428.9725,562.2671,411.5,582.1431,394.3569,602.0973,377.4027,621.4658,359.0342,641.1797,341.5,661.0813,324.4187,680.1569,305.3431,700.6969,289.8031,720.3582,272.1418,740.6053,255.8947,760.7913,239.5,779.7266,221.5,800.0538,205.4462,820.5938,189.9062,840.2551,172.2449,859.6236,153.8764,879.5778,136.9222,899.8249,120.6751,920.072,104.428,939.7334,86.7666,959.3947,69.1053,978.4702,50.0298,998.1316,32.3684
Aegilops cylindrica_0002_Layer 3.jpg,Aegilops_geniculata,6.0,557.5,13.271,534.229,26.249,525.251,38.6413,514.8587,50.7407,503.7593,62.8401,492.6599,75.2323,482.2677,87.3317,471.1683,99.4311,460.0689,111.8234,449.6766,124.5086,439.9914,136.9008,429.5992,148.586,418.914,159.5641,407.9359,171.5421,397.9579,183.2273,387.2727,195.8762,377.5,208.5976,367.9024,220.5,357.3072,232.968,347.532,244.5,336.7834,256.0454,325.4546,267.4377,314.0623,278.1738,302.5,289.7285,291.5,301.7861,281.7139,313.4713,271.0287,325.5706,259.9294,337.9629,249.5371,350.6481,239.8519,363.6262,230.8738,376.3113,221.1887,388.4107,210.0893,400.0959,199.4041,411.9024,187.5976,424.5875,177.9125,437.2727,168.2273,449.5262,157.5,461.7644,146.7356,473.4495,136.0505,485.5489,124.9511,497.6483,113.8517,510.0406,103.4594,522.4329,93.0671,535.118,83.382,547.2174,72.2826,560.2764,63.5,573.1735,54.3265,585.5658,43.9342,598.8368,35.6632,611.8148,26.6852,624.5,20.0,26.252,566.248,39.3325,557.1675,50.8271,545.6729,63.0409,534.5,75.2307,523.2693,87.7254,512.7746,100.22,502.28,112.7147,491.7853,125.5022,481.9978,138.824,473.5,151.6631,463.8369,163.8649,452.6351,176.9454,443.5546,188.44,432.06,200.9347,421.5653,214.308,413.192,226.2169,401.2831,237.7116,389.7884,250.2917,379.5,262.9938,369.5062,274.5,358.0163,285.9831,346.5169,296.7707,334.7293,308.8511,324.6489,321.3458,314.1542,334.4263,305.0737,345.5,292.8189,356.4156,281.0844,367.6174,268.8826,380.112,258.388,392.1925,248.3075,403.3943,236.1057,414.8889,224.6111,427.0907,213.4093,438.8278,202.5,451.08,191.42,462.5747,179.9253,474.7765,168.7235,486.2711,157.2289,498.4729,146.0271,509.5,133.753,521.2395,122.5,532.2498,111.2502,544.7445,100.7555,556.2391,89.2609,567.7338,77.7662,579.5213,66.9787,591.016,55.484,602.2178,43.2822,613.7124,31.7876
