node_names,edges,0,1,2,3,4,5,6,7
xx_0,0.0031784386,0.010101251,0.017469196,0.014691431,0.021917053,0.018621499,0.027406722,0.022424225,0.033015307
xx_1,0.0079262415,0.009804784,0.017451923,0.01474895,0.021547843,0.019027574,0.02676467,0.023046156,0.03209743
Parnassius_apollo,0.002149,0.01017908,0.017478267,0.014672374,0.022016456,0.018512256,0.02757651,0.02226005,0.03326198
xx_2,0.012753859,0.008784503,0.016738802,0.013741252,0.020746522,0.018245654,0.025721977,0.022629943,0.030997898
Parnassius_smintheus,0.004079,0.010109431,0.01766123,0.015074077,0.021792086,0.019264067,0.02709604,0.0231899,0.03246034
xx_3,0.018691821,0.00952357,0.014255959,0.0144859,0.018448526,0.018948482,0.024360863,0.022864062,0.030728953
xx_4,0.006609423,0.008487511,0.017585205,0.013479608,0.021583969,0.018025184,0.026258968,0.02254541,0.031130016
xx_5,0.014334772,0.00944623,0.018189296,0.012299057,0.021942966,0.014893768,0.027452314,0.017956888,0.03397551
xx_6,0.008121809,0.009206113,0.012056351,0.0155486,0.016637037,0.020971883,0.022756731,0.025788166,0.02930371
Parnassius_glacialis,0.005117,0.007768213,0.017985351,0.0127856415,0.022489864,0.017285688,0.027646277,0.021851467,0.033024643
Parnassius_mnemosyne,0.00541,0.009243657,0.017079206,0.01423793,0.020523658,0.018850056,0.024654329,0.023352044,0.029116347
xx_7,0.022534879,0.0120380325,0.027926313,0.014597872,0.031614836,0.016589811,0.03555206,0.019043472,0.03986864
xx_8,0.01274276,0.0075203087,0.012223342,0.011195539,0.017406054,0.01451397,0.024552854,0.017817905,0.031825054
xx_9,0.017760152,0.008135124,0.008873196,0.0124805905,0.013089869,0.017140552,0.019440807,0.021976912,0.026227713
Luehdorfia_japonica,0.003621,0.009310578,0.012575922,0.01607874,0.01719276,0.02168817,0.023358077,0.026584683,0.029976025
xx_10,0.013948486,0.0091797095,0.029093599,0.011907499,0.033323646,0.0139798215,0.038223974,0.016272318,0.042893082
xx_11,0.014292831,0.014907706,0.02625718,0.017457122,0.029280936,0.019730072,0.032774214,0.022204975,0.037039775
xx_12,0.01402147,0.0071207928,0.015019135,0.0111513045,0.020198466,0.01460638,0.026707731,0.01789743,0.0333788
xx_13,0.023634955,0.007898124,0.0070120315,0.011334987,0.0128747495,0.014525908,0.021461563,0.01784403,0.029613424
Sericinus_montela,0.01824,0.005236083,-0.0028827337,0.011076231,0.005041112,0.016135667,0.013790131,0.020680586,0.022539603
Zerynthia_polyxena,0.012627,0.008912028,0.015742546,0.013964974,0.01989573,0.018729895,0.024761157,0.023490265,0.029826174
xx_14,0.016908102,0.005957505,0.027254151,0.008715226,0.03150873,0.01137854,0.03622427,0.014147411,0.040699672
xx_15,0.018104801,0.012496188,0.030557431,0.0151510695,0.0352367,0.017002184,0.0404114,0.01865577,0.045777548
xx_16,0.0121047115,0.014179391,0.025157794,0.016717436,0.028315278,0.018878292,0.032190334,0.021193974,0.036715392
xx_17,0.03865789,0.017218418,0.029986713,0.020184457,0.03205458,0.022804312,0.035494357,0.025848368,0.038195428
xx_18,0.015395324,0.0075073927,0.016573159,0.011355672,0.021942364,0.014543909,0.02857534,0.017863296,0.035400145
xx_19,0.019391524,0.0065084524,0.012899578,0.010889024,0.017884344,0.014695063,0.024329051,0.01805235,0.030977465
xx_20,0.02049447,0.007165649,0.011782328,0.010486147,0.017239787,0.013256886,0.025219152,0.015975796,0.03320798
xx_21,0.023043493,0.008298739,0.0011374877,0.012314517,0.008552548,0.015832359,0.017557746,0.020172818,0.02634878
xx_22,0.016006667,0.006319408,0.026904926,0.009004446,0.03127875,0.011570155,0.036001585,0.014323068,0.040345833
xx_23,0.029552504,0.0052437796,0.027842134,0.008281153,0.032009307,0.010932862,0.036554996,0.0138778,0.04138958
xx_24,0.010011032,0.012878547,0.024904255,0.01567603,0.029153602,0.017768,0.034753747,0.019783247,0.040346485
Choaspes_benjaminii,0.013212,0.011343792,0.0360928,0.014337819,0.04185751,0.016409185,0.04807069,0.0177894,0.054589532
xx_25,0.01224569,0.014464828,0.020726517,0.01707103,0.02409704,0.019425897,0.028611833,0.021834305,0.03334084
xx_26,0.019265939,0.012989389,0.031646546,0.016074155,0.034734014,0.018120214,0.03886973,0.020689461,0.043158963
xx_27,0.0084499195,0.015875816,0.031463746,0.01909836,0.03327413,0.022009823,0.03610627,0.02506659,0.038457036
Zygaena_exulans,0.008789,0.018618612,0.02827232,0.021212976,0.031059274,0.023643773,0.03464399,0.026639225,0.03809563
xx_28,0.017690785,0.0068848934,0.019278944,0.010816594,0.02393495,0.0143629275,0.029776879,0.018251762,0.035996217
xx_29,0.021396238,0.0081390515,0.013202697,0.012004912,0.019865924,0.01481217,0.027334219,0.017388573,0.034749854
xx_30,0.011936702,0.00636136,0.013767785,0.010115071,0.01913161,0.013519641,0.025609825,0.0166673,0.032412883
xx_31,0.015671132,0.0066387174,0.011704228,0.011833853,0.016160032,0.016220113,0.022635201,0.019960832,0.02922838
xx_32,0.016004445,0.00746206,0.018524585,0.010234672,0.024250599,0.012116073,0.031273294,0.014219364,0.038221493
Graphium_androcles,0.016521,0.006027924,0.0036929282,0.010974025,0.011071778,0.014467832,0.020312734,0.018106423,0.029555844
xx_33,0.026407398,0.0070892777,-0.005274729,0.011663083,0.0038366425,0.0151555585,0.0140932575,0.019720977,0.023884512
Iphiclides_podalirius,0.023367,0.008884113,0.0058633224,0.0131606525,0.013294721,0.016637135,0.021191977,0.020733021,0.028951716
xx_34,0.014640063,0.005125826,0.027112296,0.00761048,0.03158298,0.009859552,0.036285527,0.012564837,0.04051595
xx_35,0.02644861,0.008388318,0.026355801,0.011403486,0.030608092,0.014622907,0.035519153,0.01765168,0.040250357
xx_36,0.019707281,0.0053341966,0.030705035,0.00847582,0.03478797,0.011026394,0.03940894,0.014056387,0.044192486
xx_37,0.047542892,0.0045068627,0.020100594,0.0074999006,0.025127202,0.010947012,0.030208597,0.014016804,0.035543
xx_38,0.00861901,0.012859036,0.02427607,0.015483246,0.02882305,0.017512903,0.034624532,0.019468721,0.040434804
xx_39,0.012775175,0.012920555,0.025856681,0.015953809,0.029675124,0.018162943,0.0349278,0.020249192,0.040218476
xx_40,0.010478019,0.016041292,0.022835786,0.01859767,0.026239933,0.020733261,0.030364417,0.023063498,0.034762077
xx_41,0.020258985,0.01106745,0.0163064,0.014533635,0.020141182,0.01717459,0.025784923,0.019845389,0.031141376
xx_42,0.017604642,0.012257553,0.028459003,0.015318785,0.031779133,0.017142437,0.036626596,0.019551216,0.04130482
xx_43,0.025825372,0.013941138,0.036150306,0.017021038,0.03909012,0.020079264,0.04269716,0.02252686,0.0464125
Zygaena_viciae,0.001272,0.01546241,0.030353814,0.018435676,0.032691464,0.021423442,0.034954026,0.024379361,0.037265386
Zygaena_filipendulae,0.001252,0.0163301,0.03245106,0.019639548,0.034015432,0.02262071,0.036956493,0.025661947,0.039691053
xx_44,0.018258337,0.006351819,0.016905835,0.010385389,0.021415193,0.014243836,0.027507577,0.018144079,0.033934504
xx_45,0.020269003,0.007324386,0.021782482,0.011269524,0.026597291,0.0145654995,0.032575358,0.018510269,0.038516663
Teinopalpus_imperialis,0.019424,0.0082875155,0.015107313,0.012789498,0.021645935,0.016125407,0.02919374,0.019493192,0.036789734
Meandrusa_payeni,0.02129,0.007879285,0.010900477,0.011091663,0.017699536,0.0132754715,0.025106277,0.015074359,0.03264336
Papilio_gigon,0.014574,0.006124534,0.014847479,0.009705832,0.020977793,0.012975221,0.027885383,0.016020145,0.03471529
xx_46,0.008145879,0.0064832703,0.01308602,0.010299104,0.018085621,0.013823078,0.024349773,0.017050147,0.03126806
xx_47,0.013876038,0.006963616,0.010484289,0.010670216,0.01564405,0.014086088,0.022534912,0.017456505,0.02928945
Papilio_aristodemus,0.013189,0.006296533,0.012860955,0.012816461,0.016417623,0.018078381,0.022632895,0.022326572,0.029289383
xx_48,0.017024558,0.008167784,0.023740917,0.010642839,0.02941476,0.012525935,0.035515264,0.014445743,0.041457165
Graphium_cloanthus,0.016025,0.006536566,0.013212232,0.01004465,0.020065857,0.011866705,0.028242737,0.014208698,0.035896637
Lamproptera_curius,0.014687,0.007018292,-0.003065718,0.011833482,0.005803281,0.0154447695,0.015669605,0.019630032,0.025213279
Lamproptera_meges,0.013419,0.0071036736,-0.007336958,0.011536456,0.0021594483,0.014912028,0.0127884215,0.019830052,0.022768477
xx_49,0.01055559,0.0054823095,0.028742546,0.008007334,0.033705343,0.010232666,0.03868153,0.012866471,0.043978203
xx_50,0.023446057,0.004074434,0.022797449,0.0066924514,0.026172873,0.009219798,0.029966893,0.011962751,0.032909755
xx_51,0.025657304,0.008227882,0.027901897,0.011490541,0.031892102,0.014783821,0.036647677,0.018378869,0.04103212
xx_52,0.020316144,0.008419025,0.02515393,0.011454419,0.029530419,0.014398844,0.034761406,0.017156526,0.03960472
xx_53,0.022985391,0.0052626333,0.03573131,0.00810717,0.040086687,0.010481184,0.045043495,0.013278411,0.049853593
